#{"t_start": 1649326658.1956785, "env_id": null}
r,l,t
294.267338,776,3.650948
175.182637,776,7.282691
303.093013,776,10.923329
269.450296,776,14.544446
796.783245,776,18.170106
256.921149,776,21.809331
492.023305,776,25.425566
1042.887659,776,29.026804
211.344245,776,32.664454
523.695163,776,36.308369
324.834741,776,39.947024
441.60612,776,43.562403
437.014699,776,47.1659
447.997654,776,50.76571
679.061299,776,54.363763
470.914418,776,57.984023
375.540787,776,61.597973
452.837001,776,65.212944
402.441917,776,68.805792
573.206764,776,72.400928
351.701823,776,76.005909
264.083193,776,79.616293
299.319774,776,83.225938
292.410603,776,86.827575
321.933982,776,90.433536
305.940913,776,94.064267
370.327613,776,97.665871
358.643902,776,101.275924
328.414623,776,104.88687
372.099406,776,108.51437
293.736337,776,112.164281
360.332328,776,115.757934
269.582552,776,119.37949
235.417739,776,122.992756
221.692293,776,126.575213
264.103641,776,130.200265
359.278424,776,133.813709
297.805101,776,137.534514
240.695323,776,141.2904
282.847116,776,145.049667
304.800645,776,148.824328
241.979844,776,150.733751
254.017245,776,152.607217
221.52146,776,154.548064
213.645495,776,156.50453
206.195794,776,158.482914
264.163203,776,160.448292
209.10142,776,162.420181
350.491065,776,164.390114
140.721967,776,166.359788
359.612612,776,168.331674
261.689017,776,170.301176
840.828031,776,172.27208
258.334614,776,174.242873
292.78382,776,176.213779
309.905675,776,178.196475
227.978102,776,180.16628
198.65696,776,182.153265
215.48572,776,184.137159
357.94781,776,186.125067
107.369512,776,188.122976
259.057418,776,190.121303
265.750845,776,192.113014
241.439232,776,194.094398
222.613058,776,196.075897
409.664013,776,198.072372
768.850907,776,200.059365
234.620481,776,202.048754
311.941034,776,204.02913
384.192206,776,206.015448
283.983217,776,208.02038
194.671347,776,210.007794
278.999944,776,211.992106
429.551123,776,213.973465
235.371663,776,215.952678
262.48561,776,217.936604
258.554059,776,219.92405
309.501625,776,221.905532
196.735375,776,223.88133
281.007958,776,225.854123
263.090083,776,227.83864
