#{"t_start": 1649329933.1580167, "env_id": null}
r,l,t
756.167191,776,2.132439
817.014393,776,4.180875
206.058537,776,6.219384
198.158046,776,8.262222
486.311843,776,10.292623
1054.849918,776,12.335562
851.11024,776,14.372085
137.574786,776,16.407445
982.966094,776,18.401874
379.251259,776,20.405297
237.663663,776,22.41229
357.554908,776,24.419199
319.779812,776,26.448623
319.252022,776,28.463128
183.104809,776,30.462919
288.429788,776,32.466914
299.345886,776,34.452593
200.058676,776,36.432703
328.546669,776,38.415813
551.396867,776,40.388727
550.100035,776,42.361392
754.960873,776,44.3224
522.132026,776,46.284183
629.691748,776,48.245809
695.403146,776,50.205441
509.717121,776,52.168988
699.396771,776,54.128046
611.440985,776,56.087415
660.672715,776,58.045368
553.653406,776,60.004549
599.677025,776,61.969334
630.606306,776,63.928701
663.869507,776,65.889103
780.887612,776,67.84879
359.63576,776,69.811576
512.685641,776,71.777038
347.205541,776,73.739488
401.000247,776,75.703177
211.07661,776,77.674075
391.453633,776,79.650964
278.971241,776,81.631031
314.677182,776,83.611844
1295.254413,776,85.601983
318.454115,776,87.608197
521.481456,776,89.573719
487.71044,776,91.555423
309.190368,776,93.528808
561.716171,776,95.501206
385.591583,776,97.49474
658.279979,776,99.485968
1047.376753,776,101.460928
319.234968,776,103.43401
859.842484,776,105.403495
324.518493,776,107.373993
370.186314,776,109.339781
437.092635,776,111.308458
580.848984,776,113.271326
495.003037,776,115.236702
416.983272,776,117.203131
473.439471,776,119.164221
706.471278,776,121.135184
733.109868,776,123.097676
656.764703,776,125.061139
567.991886,776,127.106587
715.167633,776,129.07496
573.238762,776,131.04326
597.447898,776,133.010602
348.364593,776,134.978986
388.145417,776,136.945867
553.397282,776,138.917065
434.019565,776,140.897985
362.535043,776,142.871876
352.043003,776,144.849673
377.311512,776,146.841082
372.916143,776,148.816555
243.293952,776,150.784456
372.687768,776,152.755832
342.940338,776,154.718543
496.678834,776,156.680448
317.672208,776,158.661337
321.510941,776,160.641906
306.588473,776,162.625823
430.329283,776,164.600709
482.077865,776,166.571501
338.696456,776,168.546582
310.981607,776,170.523153
324.758676,776,172.506701
246.91366,776,174.492506
370.708966,776,176.473824
311.28869,776,178.455751
240.384825,776,180.45457
249.977631,776,182.44196
349.420548,776,184.415698
296.42179,776,186.395169
334.129006,776,188.372895
375.228337,776,190.363826
308.825607,776,192.350633
204.783711,776,194.334027
247.206057,776,196.318832
319.684414,776,198.310744
166.721254,776,200.311471
252.30167,776,202.291856
239.197747,776,204.277366
208.479973,776,206.262693
327.224951,776,208.255305
320.388699,776,210.216368
293.619094,776,212.174073
332.342175,776,214.128388
218.082296,776,216.086614
152.321205,776,218.050576
245.056274,776,220.011469
302.968918,776,221.966865
511.740789,776,223.919611
512.007227,776,225.867514
470.313589,776,227.819494
488.382594,776,229.774101
445.081198,776,231.724035
444.015069,776,233.674796
490.0205,776,235.624822
411.0273,776,237.576241
439.47102,776,239.53284
469.058144,776,241.483119
399.670009,776,243.441094
438.107725,776,245.393641
607.399462,776,247.343369
630.331725,776,249.298735
474.660212,776,251.250907
564.959816,776,253.201031
577.01641,776,255.151584
437.251255,776,257.101866
472.377937,776,259.05707
646.45339,776,261.007174
854.984273,776,262.958542
1231.54115,776,264.91432
883.553858,776,266.87711
805.564046,776,268.837566
724.45606,776,270.790946
564.96901,776,272.746321
516.860863,776,274.696207
593.875213,776,276.645575
573.220642,776,278.600937
837.046964,776,280.552404
446.213916,776,282.502667
381.259915,776,284.457018
268.650518,776,286.41338
273.395192,776,288.379951
285.794852,776,290.336311
213.937833,776,292.296607
218.198725,776,294.250686
190.095481,776,296.206041
213.612864,776,298.16622
238.049807,776,300.117671
217.349771,776,302.077347
311.210353,776,304.046325
213.942094,776,306.011097
183.551382,776,307.980066
177.345986,776,309.946947
254.498438,776,311.918092
253.120916,776,313.882888
269.415979,776,315.846242
398.569378,776,317.811614
339.664312,776,319.769366
284.238179,776,321.727853
415.123461,776,323.690299
524.191033,776,325.652167
578.240368,776,327.650228
725.477881,776,329.5952
723.765019,776,331.546066
660.608564,776,333.495102
692.815402,776,335.45146
659.241966,776,337.407823
721.268193,776,339.356273
695.60096,776,341.30698
689.838741,776,343.257342
768.900791,776,345.207623
632.545722,776,347.166859
618.367164,776,349.119746
604.808907,776,351.068694
609.784217,776,353.01491
600.607031,776,354.961114
559.449016,776,356.913058
655.601864,776,358.859915
565.721146,776,360.808954
575.409815,776,362.759651
644.682641,776,364.71251
600.251577,776,366.668796
689.693821,776,368.621281
580.502889,776,370.57218
573.058472,776,372.517538
573.514578,776,374.46389
571.688188,776,376.414985
555.701677,776,378.36323
533.496593,776,380.31454
582.232768,776,382.268317
574.176607,776,384.223966
580.788591,776,386.184671
575.337062,776,388.161169
580.97131,776,390.106152
539.86309,776,392.058502
529.987224,776,394.008993
537.563723,776,395.963354
578.349178,776,397.912277
528.194812,776,399.859219
540.807359,776,401.808131
548.62766,776,403.755486
532.374836,776,405.70658
