#{"t_start": 1649324302.4565742, "env_id": null}
r,l,t
328.492808,776,3.616069
1083.638278,776,7.230456
287.86257,776,10.825729
292.263895,776,14.46066
300.327741,776,18.085064
478.602999,776,21.695089
1063.608037,776,25.325025
427.834784,776,28.952761
316.258443,776,32.550008
283.487278,776,36.171107
408.661576,776,39.792791
316.413039,776,43.416883
262.459574,776,47.021435
449.231772,776,50.646057
276.810046,776,54.267478
266.720186,776,57.91285
391.49064,776,61.533092
270.657489,776,65.145164
251.920074,776,68.743209
272.104717,776,72.346085
265.174026,776,75.964611
279.241536,776,79.580903
285.577835,776,83.192631
276.659856,776,86.823037
460.734191,776,90.457763
479.542364,776,94.087402
537.073155,776,97.695027
349.295668,776,101.304037
291.556461,776,104.923788
275.913544,776,108.651006
417.154699,776,112.39903
524.009819,776,116.150218
404.445281,776,119.898003
320.342434,776,123.507015
391.590009,776,127.109024
327.662804,776,130.72747
439.307919,776,134.344042
272.673284,776,137.956041
341.985382,776,141.583044
310.681023,776,145.205077
302.132423,776,148.801047
308.201409,776,152.427464
239.988937,776,156.049011
247.728349,776,159.678165
218.467747,776,163.282023
306.073995,776,166.923063
398.86884,776,170.544017
257.68689,776,174.148013
273.592181,776,177.784111
407.432512,776,181.407869
393.270438,776,185.033087
359.738863,776,188.641093
316.254017,776,192.246952
556.67271,776,195.856406
422.107802,776,199.500021
503.296734,776,203.117498
436.54897,776,206.747072
709.920082,776,210.380606
532.223653,776,213.972738
464.25648,776,217.564054
373.878288,776,221.201995
303.882854,776,224.79976
495.0065,776,228.395103
440.81521,776,231.980562
463.705461,776,235.583839
434.279083,776,239.204233
292.764753,776,242.813935
511.630458,776,246.420915
393.177426,776,250.031941
352.551682,776,253.658238
472.174241,776,257.291108
351.151978,776,260.922783
347.36675,776,264.564022
303.486071,776,268.175557
311.098494,776,271.795368
202.151697,776,275.427002
426.885227,776,279.037984
316.990547,776,282.640272
300.220382,776,286.241562
316.674933,776,289.830038
329.823438,776,293.441043
282.930947,776,297.042064
320.445754,776,300.648438
310.489481,776,304.242245
286.689435,776,307.826772
320.303086,776,311.43896
387.693999,776,315.027746
386.664227,776,318.639133
394.410442,776,322.230016
443.350048,776,325.80989
412.83951,776,329.415402
399.466965,776,333.0045
335.226621,776,336.602053
297.650599,776,340.194885
468.184699,776,343.803032
340.033584,776,347.412332
329.031808,776,351.015053
460.844516,776,354.617839
367.955872,776,358.220213
474.178818,776,361.835056
318.896691,776,365.446954
343.590018,776,369.044968
298.906871,776,372.645591
326.384238,776,376.234068
317.601531,776,379.833783
320.856121,776,383.438349
343.104135,776,387.027972
276.820092,776,390.622545
351.981929,776,394.227112
382.33573,776,397.815075
355.07644,776,401.423996
342.147545,776,405.011984
294.03677,776,408.616005
311.887567,776,412.202647
399.39214,776,415.789915
463.456187,776,419.390781
416.021889,776,422.989034
350.402239,776,426.591754
320.27128,776,430.182765
453.82146,776,433.795028
341.900209,776,437.416508
292.2771,776,441.023287
319.700812,776,444.631029
333.500177,776,448.216788
375.21858,776,451.877923
343.696805,776,455.470052
321.918294,776,459.071925
314.749321,776,462.679441
347.868335,776,466.265287
341.988083,776,469.868961
322.585022,776,473.482998
319.646844,776,477.002823
325.852376,776,480.606694
318.977438,776,484.203989
319.681572,776,487.803074
319.745129,776,491.430817
346.515933,776,495.041117
342.127184,776,498.65177
329.912952,776,502.251627
320.32181,776,505.875026
329.339915,776,509.48222
339.553743,776,513.072028
335.381233,776,516.664245
393.96087,776,520.268302
378.607259,776,523.851978
527.514822,776,527.471118
416.008151,776,531.078381
407.292171,776,534.681669
415.922385,776,538.278277
352.051322,776,541.894372
427.580877,776,545.4904
425.446459,776,549.114028
424.576596,776,552.715493
380.341841,776,556.309104
317.938254,776,559.917002
278.448865,776,563.517281
355.871403,776,567.097669
232.807472,776,570.686981
368.494971,776,574.274969
374.853952,776,577.883508
171.189831,776,581.498208
371.593278,776,585.100967
533.955291,776,588.694497
121.657007,776,592.31522
387.59611,776,595.904986
410.967346,776,599.528165
558.23536,776,603.119536
340.637267,776,606.696933
479.833158,776,610.295031
456.244464,776,613.888815
376.618159,776,617.487218
465.464164,776,621.069662
191.01841,776,624.64844
430.129827,776,628.244491
394.666773,776,631.864992
302.804355,776,635.460604
398.617021,776,639.06004
522.586246,776,642.659949
369.355108,776,646.244942
391.950025,776,649.835295
302.144077,776,653.445751
269.797932,776,657.065341
254.194484,776,660.656664
270.158735,776,664.254937
371.723378,776,667.846927
499.585005,776,671.438898
364.06714,776,675.028986
309.240915,776,678.636857
323.583795,776,682.245737
299.936596,776,685.833003
349.868736,776,689.437897
308.400318,776,693.040359
322.596457,776,696.62897
299.168249,776,700.256904
324.872812,776,703.906869
324.422533,776,707.5979
522.246978,776,711.265935
408.931152,776,714.933966
358.124029,776,718.601548
334.195145,776,722.205943
