#{"t_start": 1649400851.5016904, "env_id": null}
r,l,t
212.029347,776,3.529002
264.650929,776,6.794998
386.354305,776,9.835556
308.285789,776,13.038289
272.573305,776,16.531057
260.942609,776,19.858809
252.041979,776,22.913036
277.536865,776,26.016719
304.386678,776,29.449842
304.12239,776,32.852512
292.319516,776,35.987516
293.582277,776,39.055862
258.754013,776,42.441044
286.825938,776,45.924978
137.884661,776,49.071285
344.624143,776,52.076839
253.011006,776,55.415645
313.725281,776,59.023308
287.762752,776,62.214649
377.399465,776,65.177405
250.817581,776,68.448182
297.624261,776,72.048282
338.080512,776,75.324358
303.338937,776,78.273456
310.579606,776,81.531845
282.640087,776,85.157854
286.804051,776,88.485355
317.138262,776,91.453022
263.64942,776,94.590361
325.466082,776,98.137441
304.042337,776,101.574536
324.546921,776,104.594092
367.144419,776,107.691451
264.380545,776,111.220605
592.910364,776,114.696482
366.038569,776,117.767484
539.66578,776,120.815725
333.638272,776,124.318504
308.53666,776,127.883415
232.714305,776,130.948516
350.853009,776,133.95196
311.277046,776,137.457779
245.452485,776,141.045683
316.389181,776,144.199405
356.188302,776,147.140952
288.263919,776,150.56947
372.113589,776,154.132141
370.60425,776,157.33617
306.633585,776,160.237484
199.648887,776,163.579174
332.077876,776,167.144177
333.504532,776,170.480642
292.205889,776,173.369854
230.94218,776,176.617753
270.537919,776,180.212603
257.962026,776,183.624703
300.892843,776,186.538657
263.742911,776,189.776952
298.177586,776,193.2963
302.2271,776,196.751374
313.673226,776,199.687489
306.559044,776,202.733195
251.82169,776,206.276221
259.779484,776,209.841049
206.80203,776,212.826707
213.019611,776,215.784414
267.808779,776,219.364484
272.073253,776,222.921323
330.828511,776,225.98565
210.318525,776,228.883157
256.698552,776,232.405538
326.173801,776,235.979193
220.210408,776,239.163188
387.895606,776,242.001893
433.335892,776,245.413926
390.272489,776,249.002498
484.406703,776,252.316628
437.845061,776,255.208468
414.33992,776,258.536211
1001.003921,776,262.121077
1327.141852,776,265.517141
967.811337,776,268.396555
837.146294,776,271.446183
871.610947,776,274.626481
722.750724,776,277.751495
315.368619,776,280.640172
1106.945634,776,283.680595
451.616233,776,287.258484
696.177035,776,290.806162
209.603444,776,293.766665
649.463033,776,296.738629
486.214913,776,300.326071
539.077204,776,303.86174
446.308183,776,306.934778
861.104228,776,309.84913
788.256194,776,313.302172
1042.676673,776,316.884752
656.896356,776,320.085956
884.798322,776,322.981679
947.277064,776,326.411831
594.030976,776,329.994938
742.921728,776,333.264538
608.380138,776,336.149882
683.032542,776,339.480498
307.31468,776,343.046935
322.074287,776,346.459783
351.821115,776,349.334078
742.841722,776,352.525929
246.541251,776,356.082405
350.616769,776,359.503558
397.240808,776,362.444715
735.894251,776,365.527699
604.046887,776,369.047184
314.540024,776,372.522466
691.505025,776,375.503443
582.015533,776,378.487019
283.066395,776,381.961102
276.550782,776,385.481856
282.802567,776,388.565874
285.209251,776,391.507149
288.936012,776,394.896231
263.084265,776,398.427128
273.888006,776,401.634665
282.812709,776,404.478243
241.545231,776,407.817343
319.644398,776,411.382877
232.939472,776,414.68859
248.626798,776,417.54721
287.668424,776,420.721861
285.468046,776,424.224233
372.977804,776,427.629644
323.144836,776,430.561665
271.169299,776,433.627352
269.540902,776,437.141821
305.65858,776,440.625264
204.524744,776,443.633805
238.130425,776,446.619343
431.181779,776,450.068234
462.428186,776,453.587459
380.286043,776,456.685179
275.102929,776,459.624842
231.916218,776,462.975749
386.7543,776,466.517666
358.027652,776,469.749821
322.354384,776,472.610998
251.359604,776,475.903893
243.27052,776,479.424442
266.267335,776,482.772274
278.343995,776,485.663419
112.369595,776,488.861303
293.006893,776,492.391949
