#{"t_start": 1648098067.7504373, "env_id": null}
r,l,t
269.809935,1674,4.729495
405.398497,1674,9.308845
107.427929,1674,13.996262
154.749704,1674,18.655958
117.36396,1674,23.18266
366.627297,1674,27.736394
206.785593,1674,32.301368
35.373977,1674,36.871414
19.65784,1674,41.431929
36.55246,1674,45.98319
55.659259,1674,50.526092
8.428921,1674,55.03512
4.687814,1674,59.588441
-15.204087,1674,64.144778
82.812453,1674,68.689108
6.25845,1674,73.235787
-7.77998,1674,77.7745
6.88164,1674,82.330006
48.127203,1674,86.85271
103.854015,1674,91.396694
56.916856,1674,95.957539
27.662723,1674,100.500037
63.151567,1674,105.051247
71.606425,1674,109.605985
69.872233,1674,114.157649
71.719712,1674,118.812066
65.863383,1674,123.388425
40.97447,1674,127.959169
13.875112,1674,132.533504
7.23808,1674,137.116264
3.356408,1674,141.754073
14.99245,1674,146.409488
12.810177,1674,151.047624
67.15877,1674,155.708044
29.941595,1674,160.346152
47.927728,1674,164.950403
68.865087,1674,169.517748
43.981918,1674,174.099757
67.669539,1674,178.679448
45.972795,1674,183.243392
120.95984,1674,187.824143
102.94747,1674,192.393034
169.031595,1674,196.967416
214.592165,1674,201.528747
172.044635,1674,206.091753
225.84945,1674,210.662147
268.071998,1674,215.232682
256.1552,1674,219.801839
301.037179,1674,224.371601
258.7765,1674,228.932534
222.093713,1674,233.494861
188.720397,1674,238.062929
245.287178,1674,242.628671
221.50705,1674,247.192286
247.847471,1674,251.751471
242.556745,1674,256.32581
73.935156,1674,260.908676
216.457837,1674,265.475612
165.558079,1674,270.035311
200.643051,1674,274.584048
222.063666,1674,279.119936
157.466955,1674,283.670264
153.976922,1674,288.223994
185.788528,1674,292.776717
180.600687,1674,297.322378
143.967413,1674,301.843085
185.227351,1674,306.377748
164.224573,1674,310.924267
208.26101,1674,315.476796
156.848417,1674,320.023523
74.59445,1674,324.583853
100.465956,1674,329.143786
227.811215,1674,333.798614
135.772448,1674,338.362942
135.794046,1674,342.920437
159.381123,1674,347.485033
174.96797,1674,352.038525
180.188245,1674,356.582241
185.714791,1674,361.138752
179.649513,1674,365.689773
105.679316,1674,370.242497
99.014823,1674,374.771794
49.417495,1674,379.32814
90.07062,1674,383.874861
93.116897,1674,388.416577
90.000336,1674,392.964474
120.119381,1674,397.516402
105.39282,1674,402.06232
103.575921,1674,406.561005
89.344798,1674,411.090879
95.694673,1674,415.580553
127.604852,1674,420.132878
127.653036,1674,424.680194
76.094035,1674,429.215093
103.569393,1674,433.7398
125.052054,1674,438.232481
95.221375,1674,442.717736
64.655896,1674,447.213418
101.631466,1674,451.754523
130.325706,1674,456.308814
64.975543,1674,460.86411
49.599447,1674,465.393785
25.39347,1674,469.933278
118.851279,1674,474.446772
25.781595,1674,478.971872
21.076314,1674,483.492283
20.655125,1674,488.053605
49.709849,1674,492.613395
33.546202,1674,497.162968
33.965651,1674,501.690539
12.454907,1674,506.189221
43.367296,1674,510.706499
100.557319,1674,515.194546
104.383044,1674,519.716798
149.063709,1674,524.358002
115.681592,1674,528.890308
117.430934,1674,533.403607
95.857713,1674,537.902297
100.470838,1674,542.387746
114.521016,1674,546.878426
107.754371,1674,551.394973
83.136797,1674,555.953487
78.374984,1674,560.49558
39.72595,1674,565.011285
84.338446,1674,569.521976
62.066124,1674,574.01343
35.172883,1674,578.515407
81.222677,1674,583.02041
33.275229,1674,587.566329
36.904892,1674,592.138099
72.359127,1674,596.658752
20.566935,1674,601.164038
60.208981,1674,605.65249
61.718822,1674,610.154662
48.593643,1674,614.651421
95.146791,1674,619.15745
57.645834,1674,623.718783
15.11991,1674,628.240129
114.298032,1674,632.73824
26.022695,1674,637.232076
-16.070953,1674,641.747215
-11.673452,1674,646.242893
-9.307998,1674,650.753586
-32.145009,1674,655.275226
-13.943706,1674,659.7752
-10.875083,1674,664.285894
-19.741878,1674,668.786172
-6.435679,1674,673.304646
2.395759,1674,677.829346
20.309559,1674,682.449325
20.225355,1674,686.960213
44.069642,1674,691.485526
30.721685,1674,696.003638
8.705384,1674,700.503923
16.473261,1674,705.002845
55.265898,1674,709.524132
142.355341,1674,714.043837
99.244366,1674,718.582149
118.44598,1674,723.100319
29.705751,1674,727.608002
-12.918377,1674,732.09667
46.386095,1674,736.623575
105.585421,1674,741.1663
160.72384,1674,745.690003
266.331187,1674,750.241731
193.970119,1674,754.783051
215.919852,1674,759.284517
202.324023,1674,763.77539
178.389865,1674,768.275217
187.328446,1674,772.802364
167.330543,1674,777.319837
130.670683,1674,781.845546
153.313131,1674,786.432545
156.155411,1674,790.977261
122.537768,1674,795.558287
73.291316,1674,800.091592
76.924244,1674,804.62193
24.170526,1674,809.164263
29.763471,1674,813.727601
-14.499139,1674,818.288123
-0.378432,1674,822.828441
6.890429,1674,827.356153
35.348338,1674,831.865428
99.346243,1674,836.378291
187.320964,1674,840.899993
256.122574,1674,845.431711
251.754256,1674,849.991035
202.224949,1674,854.557357
156.112359,1674,859.066048
30.944083,1674,863.562726
69.867036,1674,868.07495
53.900902,1674,872.657299
47.447121,1674,877.249831
105.566297,1674,881.837301
181.102127,1674,886.386618
114.980776,1674,890.944621
114.248989,1674,895.455416
107.962764,1674,900.076414
200.735329,1674,904.617717
164.097952,1674,909.174449
212.052532,1674,913.741192
288.460114,1674,918.339066
175.181354,1674,922.913819
312.345584,1674,927.437526
155.787111,1674,931.935208
172.565886,1674,936.469405
176.668093,1674,941.042991
139.258603,1674,945.593726
202.979618,1674,950.137645
299.002928,1674,954.690768
321.524523,1674,959.231493
364.840551,1674,963.727776
308.017451,1674,968.270087
256.167821,1674,972.813813
258.735187,1674,977.362952
201.778767,1674,981.919278
280.979618,1674,986.474586
212.151342,1674,991.023339
128.06762,1674,995.545042
130.072407,1674,1000.070923
48.537322,1674,1004.618679
40.02405,1674,1009.179735
71.694126,1674,1013.736468
76.634354,1674,1018.282955
204.464244,1674,1022.829714
273.83318,1674,1027.360111
157.940822,1674,1031.907686
190.198966,1674,1036.43798
214.785427,1674,1040.992712
185.377504,1674,1045.543443
224.831366,1674,1050.097775
149.945081,1674,1054.650097
140.887552,1674,1059.202422
176.141424,1674,1063.756364
165.396692,1674,1068.303701
148.41888,1674,1072.858448
156.814032,1674,1077.409543
203.490739,1674,1081.956725
209.935759,1674,1086.500448
284.214243,1674,1091.145811
208.092889,1674,1095.706154
221.285675,1674,1100.261372
208.533406,1674,1104.81211
209.11179,1674,1109.373842
215.122785,1674,1113.923167
203.790389,1674,1118.472476
207.698774,1674,1123.031888
176.283858,1674,1127.58503
202.4198,1674,1132.14227
186.811988,1674,1136.699683
191.196554,1674,1141.245406
197.508385,1674,1145.804018
200.548815,1674,1150.357935
212.38743,1674,1154.899718
226.592684,1674,1159.448038
189.285701,1674,1163.995537
163.778653,1674,1168.545267
145.407879,1674,1173.094203
194.343593,1674,1177.636921
179.309276,1674,1182.184798
166.439238,1674,1186.732539
159.165412,1674,1191.290077
202.892473,1674,1195.838988
182.319747,1674,1200.383387
192.515129,1674,1204.927111
193.053399,1674,1209.480832
151.000739,1674,1214.027158
196.116338,1674,1218.577045
122.454362,1674,1223.134943
123.158553,1674,1227.680677
119.675955,1674,1232.223396
110.808354,1674,1236.771888
112.024544,1674,1241.319386
112.594256,1674,1245.871136
125.304908,1674,1250.527516
157.695556,1674,1255.091834
196.197541,1674,1259.655695
166.274763,1674,1264.221035
142.497121,1674,1268.787062
184.566594,1674,1273.335391
124.11549,1674,1277.900806
120.402664,1674,1282.466738
106.327598,1674,1287.005794
150.107403,1674,1291.554524
111.04643,1674,1296.101458
128.59695,1674,1300.657917
134.356857,1674,1305.212248
165.836718,1674,1309.76333
177.372714,1674,1314.313677
190.703292,1674,1318.835382
182.32071,1674,1323.35908
160.845641,1674,1327.901634
188.510497,1674,1332.450147
187.177708,1674,1337.002912
236.778532,1674,1341.545248
221.121839,1674,1346.058124
178.707756,1674,1350.547122
259.916363,1674,1355.064669
