#{"t_start": 1649402962.5639718, "env_id": null}
r,l,t
734.38871,776,3.187383
605.047495,776,6.10769
236.794591,776,9.452188
631.971975,776,13.004429
173.964045,776,16.281937
1196.366429,776,19.178705
1073.498642,776,22.449866
756.925778,776,26.004364
224.831871,776,29.343994
360.085585,776,32.292096
212.127114,776,35.413826
207.891416,776,38.907298
333.995937,776,42.301704
372.376755,776,45.283283
458.595139,776,48.328477
471.178974,776,51.812089
423.378863,776,55.315968
305.045187,776,58.366424
362.641119,776,61.350078
278.060719,776,64.757637
319.34129,776,68.342315
672.119266,776,71.480084
423.597994,776,74.410788
537.278235,776,77.765573
410.059869,776,81.292488
439.911008,776,84.561459
459.140434,776,87.426083
473.126415,776,90.682897
812.751306,776,94.220182
515.0358,776,97.563251
550.677852,776,100.486908
552.600862,776,103.609599
495.803208,776,107.132132
482.676368,776,110.517591
392.924942,776,113.49709
456.94489,776,116.573128
384.659915,776,120.075915
357.979351,776,123.550544
395.95008,776,126.606133
447.368818,776,129.600812
481.767307,776,133.086055
428.410254,776,136.583914
339.765841,776,139.688947
305.367026,776,142.633012
327.785539,776,145.97971
325.110581,776,149.533361
297.116665,776,152.754609
278.509194,776,155.626564
276.514839,776,158.878531
311.666761,776,162.41243
341.835102,776,165.770004
368.836058,776,168.672237
366.608594,776,171.830656
435.152768,776,175.35673
348.697725,776,178.782975
380.744847,776,181.753695
321.382452,776,184.79839
295.505256,776,188.31019
370.835296,776,191.791617
318.390916,776,194.820324
352.261357,776,197.840075
402.013393,776,201.307039
304.220246,776,204.886153
335.60421,776,207.950878
338.219472,776,210.923765
338.240599,776,214.347833
316.414936,776,217.880351
325.696494,776,221.071379
273.581603,776,223.964168
175.935536,776,227.418448
327.339168,776,230.968784
382.831369,776,234.237746
506.521372,776,237.102526
269.773148,776,240.406515
349.39009,776,243.936669
462.356971,776,247.2736
356.343715,776,250.189094
547.588622,776,253.346086
340.09519,776,256.917095
283.817447,776,260.312927
314.780913,776,263.283537
351.688678,776,266.319083
399.918112,776,269.857713
397.021116,776,273.38734
367.177623,776,276.409344
433.496141,776,279.398743
290.784139,776,282.547879
429.463162,776,285.712673
360.105425,776,288.450497
301.590146,776,290.684635
287.972133,776,293.147768
324.574122,776,295.613008
316.139844,776,297.863837
292.169954,776,300.049492
266.806752,776,302.491023
251.059608,776,304.949208
264.17521,776,307.266852
250.758775,776,309.43848
303.577967,776,311.824636
238.856845,776,314.279616
241.297826,776,316.660461
267.563939,776,318.837584
226.494761,776,321.145437
221.666743,776,323.609268
238.720713,776,326.077945
267.183562,776,328.330762
236.181728,776,330.605333
259.432837,776,333.071396
241.928684,776,335.536587
242.066582,776,337.820391
298.582515,776,340.079407
355.497132,776,342.547783
357.44524,776,345.017132
358.450741,776,347.362263
338.515875,776,349.591881
368.076073,776,351.997056
388.246426,776,354.453144
382.201829,776,356.853502
397.978094,776,359.089921
341.099836,776,361.454409
345.141933,776,363.910044
383.508453,776,366.348812
327.512404,776,368.56678
395.075848,776,370.863567
425.830863,776,373.327718
421.58171,776,375.790128
468.753144,776,378.016172
446.170828,776,380.211583
478.095066,776,382.65355
353.045451,776,385.101536
637.375371,776,387.394988
556.489611,776,389.566093
561.447914,776,391.965373
589.20249,776,394.40234
640.839789,776,396.754398
566.97424,776,398.94032
708.233039,776,401.267016
534.992322,776,403.705006
345.291758,776,406.127823
535.107004,776,408.300088
518.694902,776,410.56006
514.179553,776,413.000764
623.479814,776,415.43807
392.361531,776,417.669079
339.981515,776,419.868981
498.942805,776,422.322268
782.585638,776,424.765945
530.451371,776,427.06538
487.752365,776,429.243496
473.940203,776,431.634762
669.754388,776,434.081392
716.193892,776,436.43452
675.408567,776,438.618592
631.020831,776,440.936085
637.1374,776,443.381124
681.833235,776,445.812377
699.654583,776,447.993904
646.657974,776,450.246032
664.802943,776,452.700209
