#{"t_start": 1646704753.55951, "env_id": null}
r,l,t
74.74831,1674,3.321034
52.044323,1674,11.358586
83.185213,1674,19.258312
72.60216,1674,27.202805
9.929762,1674,35.128251
52.568288,1674,37.885759
56.228076,1674,45.778153
18.729279,1674,53.670599
107.545008,1674,61.562355
29.317755,1674,69.488587
71.761476,1674,72.271116
77.512716,1674,80.155432
61.590503,1674,88.054523
7.208206,1674,95.946919
27.084318,1674,103.866049
91.683323,1674,111.807939
135.22924,1674,114.559441
138.851955,1674,122.44988
85.618983,1674,130.337505
49.907473,1674,138.243562
173.304896,1674,146.160761
77.161308,1674,148.938286
162.634705,1674,156.808127
116.695958,1674,164.688047
46.923189,1674,172.573133
65.767891,1674,180.473843
101.340185,1674,188.380438
156.05253,1674,191.114924
105.419747,1674,198.981342
7.735628,1674,206.846442
236.704792,1674,214.748275
61.791299,1674,222.643162
27.121815,1674,225.389659
28.955062,1674,233.248204
85.233995,1674,241.117222
112.023422,1674,248.993382
36.401448,1674,256.886767
4.76348,1674,264.807969
182.573391,1674,267.523438
55.482911,1674,275.361462
85.212257,1674,283.210537
100.933015,1674,291.068251
77.326208,1674,298.964065
103.463232,1674,301.699552
113.273695,1674,309.539949
156.393488,1674,317.370635
203.341475,1674,325.245651
78.910096,1674,333.136827
341.90189,1674,341.005013
36.382467,1674,343.703468
268.464823,1674,351.532718
110.861683,1674,359.366959
107.751702,1674,367.193328
98.689446,1674,375.060791
114.678534,1674,377.767251
105.536711,1674,385.990392
140.331243,1674,393.781487
37.254981,1674,401.789769
107.001378,1674,409.702031
197.830353,1674,417.759861
147.484155,1674,420.446303
49.363946,1674,428.363384
12.033191,1674,436.192008
223.580916,1674,444.034065
90.843861,1674,451.890481
55.401518,1674,454.594939
392.684295,1674,462.384567
357.973638,1674,470.193782
147.633319,1674,478.165741
410.069628,1674,486.361192
136.199047,1674,494.233221
344.598725,1674,496.831584
124.699921,1674,504.639678
431.320293,1674,512.664312
166.787562,1674,520.633558
369.658894,1674,528.532945
308.988033,1674,531.315475
229.286108,1674,539.381837
326.389208,1674,547.330341
279.264265,1674,555.236529
239.628561,1674,563.262361
286.079861,1674,571.249623
288.231871,1674,573.831971
443.371573,1674,581.893866
24.883987,1674,589.754012
220.056174,1674,597.580127
295.858766,1674,605.557531
180.709917,1674,608.244975
242.583724,1674,616.320632
547.450445,1674,624.339227
234.488379,1674,632.477626
155.040342,1674,640.346052
503.322504,1674,648.369759
46.151197,1674,651.025173
289.727846,1674,658.884996
271.471256,1674,666.683213
32.096378,1674,674.524663
160.915565,1674,682.656056
278.127987,1674,685.354509
486.952779,1674,693.341088
31.254854,1674,701.04309
26.760411,1674,708.638439
57.420282,1674,716.199829
38.523182,1674,723.804852
194.56374,1674,726.420242
31.544329,1674,734.322756
52.159837,1674,742.513953
13.59833,1674,750.226214
19.088498,1674,757.782113
29.198832,1674,760.380475
59.423534,1674,768.187679
54.871325,1674,775.968967
235.165213,1674,783.807118
38.50346,1674,791.602206
35.34391,1674,794.285645
213.552122,1674,802.196838
49.629545,1674,810.186101
39.906344,1674,818.143336
25.51468,1674,826.499936
18.381918,1674,834.818498
379.647459,1674,837.507943
189.566452,1674,845.40112
4.686756,1674,853.322322
64.219307,1674,861.353099
30.487806,1674,869.472481
40.355227,1674,872.274028
25.694625,1674,880.247277
26.091433,1674,888.65292
49.712713,1674,896.585131
18.742151,1674,904.485314
50.160738,1674,912.511497
44.392751,1674,915.461179
13.643832,1674,923.793754
92.409018,1674,931.636885
57.476657,1674,940.227696
46.059156,1674,948.676377
31.141315,1674,951.517961
39.388953,1674,959.796487
42.819903,1674,967.716688
47.080815,1674,976.041823
96.575969,1674,984.578585
43.483083,1674,992.722989
190.012642,1674,995.480496
26.9947,1674,1003.851107
67.075876,1674,1011.894419
376.03583,1674,1019.492376
37.559771,1674,1027.4719
68.955547,1674,1029.874085
2.543293,1674,1037.557069
47.352531,1674,1045.43312
59.767527,1674,1053.650258
196.821842,1674,1061.767638
15.579751,1674,1069.772029
56.251375,1674,1072.332357
66.259852,1674,1080.482875
74.832144,1674,1088.392781
9.902759,1674,1096.437096
25.115837,1674,1104.305952
46.707912,1674,1107.178563
86.116978,1674,1115.236092
629.050686,1674,1123.253946
224.309229,1674,1131.012202
51.223145,1674,1138.707556
68.230421,1674,1146.45093
230.965674,1674,1149.097336
14.982398,1674,1157.05232
44.643634,1674,1165.528025
350.618236,1674,1174.11183
93.16157,1674,1182.912831
55.182682,1674,1185.988628
170.24813,1674,1194.561422
46.758139,1674,1203.177255
43.222194,1674,1211.815108
230.347267,1674,1220.377893
65.022587,1674,1229.094819
39.543163,1674,1231.940406
63.779442,1674,1240.618295
179.693362,1674,1249.226122
558.987275,1674,1257.455603
24.578453,1674,1265.704103
208.268986,1674,1268.579717
173.977006,1674,1276.807197
214.733117,1674,1285.105742
146.219874,1674,1293.426564
719.373739,1674,1301.811187
213.527501,1674,1310.084709
63.178997,1674,1312.933299
214.582423,1674,1321.338941
262.949256,1674,1329.852681
222.583042,1674,1337.816922
466.812677,1674,1345.574253
199.355178,1674,1348.33076
197.543524,1674,1356.299422
196.757801,1674,1364.104028
226.566356,1674,1371.939195
242.811986,1674,1379.786006
383.576934,1674,1387.658634
472.640125,1674,1390.28302
499.44341,1674,1398.251534
113.35891,1674,1406.390934
236.717902,1674,1414.403277
164.67867,1674,1422.469938
111.301195,1674,1425.111351
452.14634,1674,1432.890219
88.669072,1674,1440.724261
218.703571,1674,1448.535699
74.635376,1674,1456.414687
99.813831,1674,1464.383235
183.131915,1674,1466.947566
94.711294,1674,1475.083963
157.804368,1674,1483.100251
217.388567,1674,1491.097523
136.010351,1674,1498.940654
205.049077,1674,1501.479963
83.368668,1674,1509.341605
108.385663,1674,1517.349886
77.5822,1674,1525.204003
145.902014,1674,1533.084167
202.55374,1674,1541.059418
255.363081,1674,1543.734851
132.448574,1674,1551.882258
172.678151,1674,1560.167791
312.556769,1674,1567.998181
159.599808,1674,1575.976967
151.072283,1674,1578.763502
143.998949,1674,1586.334384
196.949039,1674,1594.24431
162.305823,1674,1602.243583
189.657119,1674,1611.023566
194.914794,1674,1613.984257
200.4542,1674,1622.702183
183.643655,1674,1631.183895
148.073373,1674,1639.488444
147.499054,1674,1647.485989
178.343463,1674,1655.287521
202.243722,1674,1657.972636
210.57688,1674,1665.585557
190.181259,1674,1673.551077
191.867399,1674,1681.615409
232.704873,1674,1689.67289
204.695116,1674,1692.319296
227.781262,1674,1700.190152
230.115053,1674,1708.095769
203.228497,1674,1716.092771
232.295708,1674,1724.06758
220.894342,1674,1732.013277
203.441362,1674,1734.772785
229.182535,1674,1742.666887
226.432389,1674,1750.575029
220.738249,1674,1758.508689
193.59313,1674,1766.415878
231.276951,1674,1769.160373
147.183545,1674,1777.0522
168.492418,1674,1784.986776
223.060548,1674,1792.941042
173.649565,1674,1800.81223
205.2578,1674,1808.809799
224.069941,1674,1811.468216
243.264304,1674,1819.648025
204.78572,1674,1827.490618
232.094845,1674,1835.353053
203.808595,1674,1842.841388
240.422526,1674,1845.68097
227.590543,1674,1853.639205
208.747916,1674,1861.387993
221.522089,1674,1869.15208
198.062355,1674,1876.958203
212.117345,1674,1884.923509
217.141177,1674,1887.506857
183.116621,1674,1895.326181
253.588734,1674,1903.038618
246.612459,1674,1910.851576
210.692341,1674,1918.649573
216.895181,1674,1921.179873
230.960294,1674,1928.930901
221.51607,1674,1936.668513
237.88256,1674,1944.458941
223.483268,1674,1952.210753
213.631949,1674,1960.120414
230.855309,1674,1962.721779
212.880871,1674,1970.412772
234.877648,1674,1978.084748
228.920129,1674,1985.871475
234.143086,1674,1993.886796
211.34659,1674,1996.767416
242.872295,1674,2004.826743
219.6177,1674,2012.79419
218.0069,1674,2020.563254
228.668896,1674,2028.524857
224.406374,1674,2036.629225
223.154029,1674,2039.2416
217.02475,1674,2046.835512
209.975277,1674,2054.614093
230.459669,1674,2062.396439
219.553282,1674,2070.222863
231.442314,1674,2072.861272
230.64007,1674,2080.550736
245.355858,1674,2088.401875
222.274928,1674,2096.191265
