#{"t_start": 1648089601.6134028, "env_id": null}
r,l,t
47.125763,1674,5.120167
160.829188,1674,10.24
162.89465,1674,14.660299
174.64798,1674,19.378001
248.686215,1674,23.973965
203.496811,1674,28.66269
282.565264,1674,33.040901
195.335412,1674,37.889497
149.604832,1674,42.30127
194.26083,1674,46.832278
190.365002,1674,51.33817
151.811372,1674,55.908185
163.090836,1674,60.351811
179.080552,1674,64.783768
250.172066,1674,69.118522
244.787632,1674,73.606415
174.264954,1674,78.103507
180.821864,1674,82.543325
118.290652,1674,87.181327
136.757271,1674,91.565067
119.1048,1674,96.248917
187.497887,1674,100.676714
161.795723,1674,105.341331
94.964805,1674,109.714492
186.90246,1674,114.47061
145.655794,1674,118.845973
125.363563,1674,123.231855
156.487992,1674,127.745793
149.148916,1674,132.269682
139.08506,1674,136.876661
159.864431,1674,141.354602
159.49276,1674,145.93196
208.64639,1674,150.335345
217.511473,1674,154.710099
181.131286,1674,159.264845
186.186273,1674,163.747818
223.003047,1674,168.185229
211.326481,1674,172.659684
215.449163,1674,177.185399
205.286441,1674,181.793366
217.682098,1674,186.123313
205.902743,1674,190.484559
218.509069,1674,194.977829
174.3194,1674,199.423238
207.659995,1674,203.868065
221.175317,1674,208.393891
193.912435,1674,213.080339
162.858114,1674,217.649452
243.506325,1674,222.088084
238.711521,1674,226.408621
237.642114,1674,230.967574
208.280084,1674,235.30971
134.790543,1674,239.999164
124.666754,1674,244.551911
133.569394,1674,249.127845
160.957426,1674,253.734062
197.598175,1674,258.238612
123.578919,1674,262.824979
193.515199,1674,267.261405
113.325242,1674,271.503771
139.406023,1674,276.07737
177.827117,1674,280.439902
137.322221,1674,285.128362
183.16006,1674,289.695199
185.277378,1674,294.271955
225.418511,1674,298.675378
216.219629,1674,303.406678
220.997487,1674,308.322249
194.775206,1674,313.175048
229.520083,1674,317.663723
176.122271,1674,322.226839
165.091115,1674,326.796753
173.992664,1674,331.405121
130.46101,1674,335.80129
