#{"t_start": 1649398749.853794, "env_id": null}
r,l,t
329.786113,776,3.466516
1298.168126,776,7.038944
604.036656,776,10.304209
487.593596,776,13.204711
415.839965,776,16.553571
302.478308,776,20.106576
243.016324,776,23.469749
250.483261,776,26.335131
426.575886,776,29.562848
347.19348,776,33.086375
409.826977,776,36.528399
396.541141,776,39.444347
397.373817,776,42.51552
359.275165,776,46.075427
750.214077,776,49.630828
418.485923,776,52.597525
429.489256,776,55.612674
335.448243,776,59.158865
365.139937,776,62.695236
382.516302,776,65.723804
451.1893,776,68.678447
853.386368,776,72.193693
335.524844,776,75.754472
1495.893034,776,78.88351
1403.153451,776,81.791666
991.695877,776,85.27161
462.782793,776,88.832227
460.984273,776,92.082078
445.117521,776,94.975628
605.142896,776,98.368367
682.912278,776,101.947197
540.249056,776,105.246459
325.276381,776,108.13939
384.029441,776,111.454688
464.467978,776,115.06421
371.154774,776,118.474563
399.540676,776,121.359963
391.071852,776,124.531276
319.96203,776,128.095358
393.846274,776,131.604721
465.891642,776,134.532727
574.7334,776,137.638743
446.059254,776,141.230724
323.173097,776,144.74891
271.114763,776,147.714824
485.837576,776,150.8646
482.007184,776,154.464737
437.485171,776,158.048428
362.567307,776,161.008813
427.399493,776,163.984306
287.75439,776,167.537687
342.159826,776,171.136839
299.052553,776,174.199387
362.240405,776,177.119215
335.175494,776,180.605189
351.178517,776,184.186111
341.911363,776,187.322922
350.780762,776,190.198535
333.483081,776,193.623513
340.086183,776,197.196341
339.408006,776,200.455855
337.477842,776,203.313737
339.578293,776,206.413707
346.537685,776,209.583235
347.368965,776,212.623175
358.872403,776,215.507909
358.705463,776,218.650357
343.839484,776,222.175101
341.829444,776,225.614986
370.351278,776,228.536438
358.516483,776,231.543442
368.243806,776,235.093302
349.462055,776,238.636883
353.737022,776,241.629195
358.780239,776,244.587575
340.172935,776,248.029699
359.513772,776,251.603529
352.812227,776,254.733082
348.214505,776,257.651124
391.855539,776,261.024624
453.018346,776,264.570947
462.538689,776,267.817906
403.555895,776,270.678764
340.499428,776,274.005491
319.124216,776,277.532113
304.42294,776,280.888343
269.554568,776,283.762647
261.080125,776,286.919748
339.026266,776,290.482212
321.449147,776,293.878553
378.815313,776,296.843623
318.284448,776,299.89338
301.233579,776,303.402381
335.798321,776,306.868336
348.238816,776,309.889978
307.885313,776,312.942742
302.56908,776,316.356426
304.042858,776,319.857079
324.215022,776,322.955681
317.0147,776,325.913536
341.151323,776,329.293518
373.02914,776,332.84191
348.449031,776,336.012918
343.806613,776,338.931741
331.525983,776,342.180577
388.541771,776,345.729248
354.969612,776,348.985449
376.515872,776,351.905134
337.060191,776,355.116699
367.403562,776,358.625874
386.409316,776,361.988731
381.359933,776,364.959171
309.372387,776,368.053508
312.296458,776,371.553623
340.099832,776,374.972831
343.309733,776,378.035574
351.64562,776,381.087171
371.484852,776,384.48333
335.268683,776,387.974132
343.936151,776,391.091486
339.112464,776,394.131176
335.941526,776,397.451036
350.897945,776,400.980997
339.40246,776,404.169452
337.886476,776,407.131329
354.192948,776,410.386326
348.612844,776,413.923708
345.902178,776,417.14947
324.097066,776,420.114262
332.807038,776,423.288847
347.244725,776,426.879745
341.7569,776,430.197304
332.097304,776,433.184426
336.213783,776,436.334252
341.537906,776,439.831532
338.052202,776,443.200406
338.709542,776,446.272798
373.057828,776,449.387536
438.447126,776,452.803792
449.347069,776,456.2507
327.008163,776,459.368068
375.156864,776,462.432295
373.266298,776,465.766665
339.468403,776,469.265712
331.003721,776,472.425775
346.198067,776,475.417058
351.719041,776,478.695158
353.537812,776,482.232264
344.105546,776,485.432666
354.661644,776,488.459679
353.552385,776,491.652504
357.968813,776,495.184912
362.757369,776,498.428548
381.449998,776,501.450804
325.773615,776,504.611553
328.523402,776,508.133427
341.292458,776,511.415737
336.197656,776,514.469106
351.801084,776,517.60521
341.044815,776,521.003973
338.40994,776,524.361577
330.899898,776,527.487808
325.76045,776,530.605811
327.406563,776,533.94436
320.96006,776,537.392742
320.990084,776,540.59165
335.482471,776,543.628694
331.152111,776,546.853682
341.938305,776,550.347016
305.9991,776,553.557826
316.871431,776,556.587968
322.221552,776,559.780259
321.463705,776,563.290623
340.614887,776,566.515921
332.227356,776,569.594003
319.322925,776,572.765339
329.484172,776,576.24789
330.650708,776,579.54689
342.275914,776,582.596317
349.584928,776,585.745682
347.989554,776,589.160223
339.020282,776,592.50948
340.781208,776,595.640841
439.02191,776,598.789309
369.899639,776,602.103967
311.005804,776,605.485646
273.490431,776,608.697616
375.835979,776,611.785649
254.510493,776,615.062038
354.068623,776,618.495342
419.408182,776,621.690069
423.87945,776,624.785758
441.431406,776,628.003586
201.185667,776,631.553165
525.198431,776,634.742039
351.367697,776,637.845975
220.063252,776,641.038345
310.171162,776,644.546393
454.212449,776,647.747065
345.477063,776,650.87325
294.626155,776,654.080726
372.047737,776,657.519962
285.612999,776,660.76734
233.160634,776,663.886363
233.924358,776,667.060616
280.402814,776,670.435865
347.011774,776,673.760361
384.530373,776,676.930026
258.121362,776,680.052315
213.847604,776,683.368578
100.011405,776,686.74729
303.740749,776,689.884614
358.888511,776,692.796726
349.638196,776,695.810293
370.241534,776,698.993675
519.181932,776,702.173476
294.132019,776,705.23353
454.754462,776,708.436232
572.243079,776,712.018423
973.247878,776,715.226605
423.623622,776,718.304674
354.512353,776,721.499627
444.027579,776,725.012287
285.096628,776,728.298949
505.814384,776,731.35078
188.581328,776,734.559723
520.613408,776,738.010147
270.923681,776,741.353174
825.924827,776,744.469981
291.335355,776,747.589069
252.033333,776,750.973901
1024.777559,776,754.404717
332.496195,776,757.572099
456.468233,776,760.671497
461.742493,776,763.959846
327.580412,776,767.451857
406.994441,776,770.638624
287.137694,776,773.677272
245.688903,776,776.936244
242.393741,776,780.476481
206.105975,776,783.656949
132.547516,776,786.707396
236.143018,776,789.921794
342.729674,776,793.462172
186.556807,776,796.689794
117.4955,776,799.732213
231.288545,776,802.925647
187.018333,776,806.43542
339.866054,776,809.731326
313.687069,776,812.786607
308.541664,776,815.941278
325.838206,776,819.332102
319.178717,776,822.707329
325.748051,776,825.825112
332.08808,776,828.906254
313.90142,776,832.221857
291.321114,776,835.672657
269.683264,776,838.821889
319.793365,776,841.837848
340.016884,776,845.07521
331.08457,776,848.613108
342.953654,776,851.777024
337.163145,776,854.77223
336.769699,776,857.940313
333.633494,776,861.491416
349.181284,776,864.748142
346.894302,776,867.750406
335.816504,776,870.893201
345.593402,776,874.372525
340.703339,776,877.702573
342.375616,776,880.771316
332.261399,776,883.893173
334.488697,776,887.297368
323.573585,776,890.705841
357.591964,776,893.806942
329.712081,776,896.857288
341.140729,776,900.217446
350.170764,776,903.662354
344.871457,776,906.842827
348.303411,776,909.831321
358.7728,776,913.087942
357.895739,776,916.611698
371.51093,776,919.785508
351.53203,776,922.75724
326.267386,776,925.948386
296.635256,776,929.486227
327.009833,776,932.768406
300.445915,776,935.747004
320.036696,776,938.914236
329.099652,776,942.393153
332.362683,776,945.747269
329.624164,776,948.791888
293.934935,776,951.88615
317.249639,776,955.304111
340.231932,776,958.729933
338.639748,776,961.854498
339.540366,776,964.904487
341.664031,776,968.283066
288.195625,776,971.772252
314.346885,776,974.915276
302.165941,776,977.922876
279.704372,776,981.222003
332.886732,776,984.742186
308.607694,776,987.933728
328.232595,776,990.875469
338.095704,776,994.069238
323.781461,776,997.622995
302.83999,776,1000.902385
340.858459,776,1003.869864
327.301201,776,1007.025519
320.760039,776,1010.541066
314.509756,776,1013.905066
302.132167,776,1016.929015
307.462008,776,1020.027476
339.12417,776,1023.456099
308.74619,776,1026.889984
308.63512,776,1029.976087
308.665235,776,1033.004128
339.936117,776,1036.395769
322.307744,776,1039.935062
327.593584,776,1043.071759
296.968244,776,1046.036503
307.010135,776,1049.401363
343.194045,776,1052.90454
314.051154,776,1056.136799
333.935327,776,1059.046608
332.647702,776,1062.202721
344.818346,776,1065.34838
344.669707,776,1068.304404
341.269103,776,1071.165457
342.832381,776,1074.353784
350.632194,776,1077.935585
322.225624,776,1081.322942
356.171382,776,1084.322464
328.764326,776,1087.402023
329.156774,776,1090.8592
348.65602,776,1094.292853
311.307386,776,1097.350731
279.451683,776,1100.374669
286.409298,776,1103.720234
288.982185,776,1107.247176
279.674846,776,1110.391671
292.409527,776,1113.36856
242.705949,776,1116.653002
279.328595,776,1120.232033
294.001806,776,1123.448947
303.351674,776,1126.332014
291.834808,776,1129.52888
272.090216,776,1133.03809
296.941353,776,1136.330425
284.424931,776,1139.283111
299.777607,776,1142.407932
319.450659,776,1145.899086
260.548582,776,1149.284706
318.735991,776,1152.304978
316.254365,776,1155.389769
311.238567,776,1158.834593
305.446297,776,1162.296643
295.734667,776,1165.375306
293.203295,776,1168.379678
295.32527,776,1171.764999
313.446235,776,1175.284631
304.354404,776,1178.442408
317.212427,776,1181.389541
308.79825,776,1184.64926
315.529822,776,1188.204248
310.504039,776,1191.428098
310.194802,776,1194.352998
325.536155,776,1197.538468
292.436267,776,1201.111584
307.622004,776,1204.420426
305.338343,776,1207.379017
311.019951,776,1210.509118
309.6522,776,1213.979351
307.134758,776,1217.356855
315.459006,776,1220.40361
316.919286,776,1223.484147
331.283469,776,1226.89497
304.262635,776,1230.358475
318.103842,776,1233.453383
310.756638,776,1236.455845
311.98305,776,1239.773998
305.147899,776,1243.331496
310.896864,776,1246.501117
309.675917,776,1249.461035
309.333345,776,1252.716731
307.01533,776,1256.267803
312.183718,776,1259.484792
313.082101,776,1262.448618
311.60332,776,1265.600363
308.794878,776,1269.169133
311.060797,776,1272.453956
326.889579,776,1275.432549
313.858474,776,1278.575499
305.215574,776,1282.048574
312.066227,776,1285.434933
307.773435,776,1288.483389
305.0004,776,1291.573804
312.614939,776,1294.968487
309.485311,776,1298.401483
310.720705,776,1301.515167
312.301135,776,1304.544769
303.125425,776,1307.842644
307.310647,776,1311.341992
306.870709,776,1314.509155
316.771596,776,1317.482051
328.557624,776,1320.705453
342.051562,776,1324.241202
319.154444,776,1327.459041
321.818549,776,1330.443147
300.095518,776,1333.619052
335.858513,776,1337.118989
316.540129,776,1340.408179
323.835732,776,1343.431682
330.593698,776,1346.573151
296.896076,776,1350.012152
329.09824,776,1353.379122
320.075645,776,1356.502208
311.426043,776,1359.571876
339.386653,776,1362.881799
335.09198,776,1366.305113
328.109506,776,1369.538365
341.234944,776,1372.54795
365.609897,776,1375.778367
359.5384,776,1379.296729
353.439509,776,1382.459561
366.72528,776,1385.49926
361.442025,776,1388.666806
356.983913,776,1392.193605
347.380468,776,1395.413366
359.133472,776,1398.446604
373.42322,776,1401.596878
338.614081,776,1405.070318
309.037056,776,1408.384959
339.110754,776,1411.433522
331.047141,776,1414.590609
352.435512,776,1418.008069
375.006627,776,1421.373892
349.059429,776,1424.491658
324.616022,776,1427.578014
355.511521,776,1430.906449
327.884035,776,1434.358184
383.168097,776,1437.528366
529.771179,776,1440.579357
380.054196,776,1443.795462
423.140977,776,1447.298674
372.536282,776,1450.474506
478.280737,776,1453.524756
491.427532,776,1456.674088
423.933577,776,1460.184858
393.795425,776,1463.409907
323.161979,776,1466.442494
476.768466,776,1469.624013
595.143843,776,1473.05926
583.908858,776,1476.330809
630.28893,776,1479.430375
423.322944,776,1482.585199
284.091657,776,1485.927174
481.919986,776,1489.322514
306.302701,776,1492.483849
308.397864,776,1495.572634
301.733902,776,1498.863909
300.04329,776,1502.328943
300.937679,776,1505.50444
296.666512,776,1508.544085
304.26355,776,1511.755473
295.516975,776,1515.268786
293.841406,776,1518.443966
329.534139,776,1521.486903
302.366296,776,1524.633761
396.668531,776,1528.120616
601.358041,776,1531.387907
504.491327,776,1534.438521
352.281079,776,1537.604129
343.156056,776,1541.038202
381.312403,776,1544.359554
329.770681,776,1547.444105
377.34135,776,1550.558609
472.369457,776,1553.922422
349.140513,776,1557.309108
311.304966,776,1560.469565
496.090573,776,1563.554874
372.059552,776,1566.829883
433.394338,776,1570.284908
390.934729,776,1573.463077
443.306603,776,1576.521584
323.826379,776,1579.696872
363.407725,776,1583.225299
322.161047,776,1586.397925
398.612683,776,1589.464828
413.076034,776,1592.61611
417.585033,776,1596.083899
461.062522,776,1599.356674
300.201892,776,1602.434318
331.256415,776,1605.630471
320.736461,776,1609.066417
374.687304,776,1612.379578
342.466769,776,1615.485006
314.44001,776,1618.604927
364.232124,776,1621.962848
442.704212,776,1625.333269
483.184924,776,1628.504368
326.601606,776,1631.614599
323.425389,776,1634.871065
358.208705,776,1638.307825
352.915776,776,1641.501024
441.640163,776,1644.619844
368.232958,776,1647.782356
391.315655,776,1651.283066
347.251071,776,1654.458279
435.960623,776,1657.580249
544.169266,776,1660.744196
341.32674,776,1664.216624
473.647429,776,1667.419564
516.295795,776,1670.560462
307.85501,776,1673.740821
325.672298,776,1677.107052
396.832188,776,1680.389701
394.294324,776,1683.516573
435.530463,776,1686.692316
349.259339,776,1690.011306
514.390153,776,1693.353026
416.085458,776,1696.539423
371.00981,776,1699.661797
325.908508,776,1702.892272
346.389096,776,1706.291335
350.797655,776,1709.479989
342.005454,776,1712.619881
342.283421,776,1715.783934
340.919406,776,1719.246786
351.693471,776,1722.439883
355.149111,776,1725.610055
369.270441,776,1728.78164
374.914707,776,1732.226804
355.584028,776,1735.426712
416.836802,776,1738.599402
316.266042,776,1741.757385
337.865719,776,1745.121161
327.924937,776,1748.365207
330.753503,776,1751.564275
319.690573,776,1754.761686
297.417924,776,1758.064102
314.468784,776,1761.387919
319.131993,776,1764.574831
319.959175,776,1767.76447
311.754964,776,1770.983021
312.958538,776,1774.312923
314.59034,776,1777.482757
316.477127,776,1780.680643
276.643963,776,1783.843601
330.829326,776,1787.272407
295.726644,776,1790.459404
248.826818,776,1793.651742
316.160975,776,1796.830728
275.031983,776,1800.209398
