,ts_code,trade_date,open,high,low,close,vol,macd,kdjk,kdjd,rsi
0,000016.SH,20100104,2565.108,2570.152,2514.237,2514.646,27327443.0,0.0,33.57715580196137,44.52571860065378,100.0
1,000016.SH,20100105,2526.291,2560.667,2487.048,2543.991,35377438.0,0.6583814102568795,45.22482636829514,44.7587545232009,100.0
2,000016.SH,20100106,2538.285,2549.571,2513.365,2514.014,29646151.0,-0.09067637956331964,40.96605033460734,43.49451979366971,47.61640265464076
3,000016.SH,20100107,2516.057,2527.427,2450.402,2463.758,32043185.0,-2.2436140372797126,31.02844552578548,39.339161704374966,24.471911215701354
4,000016.SH,20100112,2472.623,2513.298,2435.156,2508.039,38048146.0,-1.6042115351615394,38.681966044420804,39.120096484390245,48.31151554843433
5,000016.SH,20100113,2444.237,2457.9,2396.474,2399.642,49558854.0,-5.824809262915096,26.39599910433062,34.878730691037035,26.369487569373973
6,000016.SH,20100114,2412.634,2428.705,2384.165,2422.771,30562214.0,-7.383406714970533,24.516454323571537,31.424638568548534,33.32767291980005
7,000016.SH,20100115,2423.13,2445.203,2402.904,2427.807,25994928.0,-8.07026759000064,24.16599651329784,29.005091216798302,34.77304227266947
8,000016.SH,20100118,2414.893,2421.89,2398.778,2421.188,30936344.0,-8.751505949468083,22.7460743439729,26.918752259189834,33.73780154244666
9,000016.SH,20100119,2424.469,2450.281,2424.161,2432.713,27829076.0,-8.5137884960659,24.332595339278182,26.056699952552613,37.241329848375784
10,000016.SH,20100120,2436.647,2439.468,2356.161,2359.485,34748485.0,-12.123874750564028,16.794606499387474,22.969335468164232,27.34726736798376
11,000016.SH,20100121,2362.597,2391.508,2346.148,2377.753,29196147.0,-13.602187396036697,17.007888288595524,20.982186408307996,32.18741159460734
12,000016.SH,20100126,2354.905,2363.411,2296.875,2311.447,24700383.0,-18.263610087923553,13.582962399506878,18.515778405374288,25.53731331333357
13,000016.SH,20100127,2313.007,2319.993,2260.564,2264.605,22280212.0,-24.230323863578178,9.737900393471362,15.58981906807331,22.068491843149346
14,000016.SH,20100128,2263.061,2267.853,2235.603,2252.61,19023456.0,-29.132769146843202,9.132632689173704,13.437423608440108,21.271676002650906
15,000016.SH,20100129,2241.117,2276.767,2231.649,2243.994,18626036.0,-33.00910470366307,7.970579939805816,11.61514238556201,20.693695122064995
16,000016.SH,20100201,2238.617,2238.898,2182.952,2208.936,22082437.0,-37.72525923111834,8.553672727184722,10.594652499436247,18.491979173631478
17,000016.SH,20100202,2223.598,2261.633,2210.696,2214.033,19640116.0,-40.552582543741664,9.577947713580269,10.25575090415092,19.827530803367296
18,000016.SH,20100203,2226.797,2278.475,2190.428,2277.798,24836450.0,-38.14170876199569,18.71019568810975,13.073899165470529,34.32556426485202
19,000016.SH,20100204,2258.084,2276.47,2247.64,2261.358,17182667.0,-36.89489947034235,25.005030054052376,17.05094279499781,32.684484787704974
20,000016.SH,20100205,2212.308,2233.315,2204.929,2219.6,18456182.0,-38.25205871802518,23.439424720755493,19.18043677025037,28.904423809503
21,000016.SH,20100208,2220.842,2233.135,2201.802,2211.135,12006796.0,-39.414799244734695,22.481409228659338,20.280760923053357,28.192613209329878
