#{"t_start": 1648090303.8409421, "env_id": null}
r,l,t
80.952255,1674,5.097205
318.252746,1674,10.077106
321.647701,1674,15.055422
256.421531,1674,20.016419
379.373828,1674,24.975704
119.463075,1674,29.913373
168.619378,1674,34.819196
240.765106,1674,39.710181
283.447811,1674,44.601802
175.202623,1674,49.478421
221.142023,1674,54.380034
422.581892,1674,59.28643
348.795321,1674,64.179711
364.468214,1674,69.075524
323.184278,1674,74.046453
277.013535,1674,78.937503
303.910626,1674,83.837736
362.484347,1674,88.546621
256.470067,1674,93.075682
231.758201,1674,98.202523
152.327146,1674,103.320642
124.001692,1674,106.912299
152.913127,1674,112.035959
192.499278,1674,117.028499
158.838137,1674,121.997627
218.544355,1674,126.984771
340.245748,1674,131.617327
213.035382,1674,136.291883
173.871106,1674,140.702263
123.916563,1674,145.20475
197.911321,1674,149.566988
167.512042,1674,154.13349
176.723962,1674,158.624578
211.462262,1674,162.92708
173.500921,1674,167.563087
282.931558,1674,172.116462
198.593806,1674,176.590299
173.898741,1674,181.310749
186.687268,1674,185.738595
233.017687,1674,190.128348
335.95214,1674,194.581918
214.301315,1674,198.985712
123.62026,1674,203.465742
238.643788,1674,207.830069
291.515542,1674,212.433451
287.651363,1674,216.863434
201.464773,1674,221.321245
154.287478,1674,226.270146
212.005067,1674,231.202222
181.042537,1674,236.111818
144.505422,1674,241.043661
293.05968,1674,245.943622
263.378335,1674,250.868647
272.528887,1674,255.765282
176.359559,1674,260.667344
206.973238,1674,265.569174
131.007793,1674,270.75087
176.856564,1674,275.557433
113.384232,1674,279.870557
177.602095,1674,284.648276
246.151811,1674,289.248233
184.280986,1674,293.802283
155.285904,1674,298.205666
220.516849,1674,302.801652
188.199164,1674,307.162604
251.834463,1674,311.488313
184.294524,1674,315.924139
157.601292,1674,320.455111
174.716158,1674,324.758837
137.740253,1674,329.314859
76.604975,1674,334.825554
62.076956,1674,340.109367
58.17368,1674,344.767907
45.231692,1674,349.30582
