#{"t_start": 1649387506.381733, "env_id": null}
r,l,t
1504.115255,776,5.367401
1235.091822,776,6.93658
803.838283,776,8.663467
1043.490819,776,10.49099
1131.016071,776,12.391464
734.998917,776,14.333986
410.227582,776,16.273773
447.092388,776,18.224482
506.459579,776,20.17855
355.590181,776,22.132022
437.642172,776,24.099987
627.831615,776,26.068656
403.4459,776,28.02281
272.896026,776,29.976698
464.27857,776,31.932239
276.620029,776,33.890848
353.428306,776,35.839944
261.368132,776,37.791499
346.253926,776,39.740557
597.772595,776,41.685605
612.870644,776,43.491284
401.377118,776,45.058831
595.627422,776,46.763684
673.152266,776,48.323348
363.937372,776,49.974165
350.828357,776,51.761889
436.34941,776,53.616513
563.602045,776,55.26352
512.397022,776,56.823938
402.192712,776,58.535695
811.516624,776,60.363949
805.486133,776,62.234168
1315.720569,776,64.123726
637.564878,776,66.029811
1172.188585,776,67.95031
1035.826782,776,69.883422
782.09163,776,71.815348
728.443531,776,73.753711
656.098938,776,75.691249
754.106133,776,77.62651
458.07518,776,79.562795
438.763306,776,81.495115
580.795459,776,83.425625
726.131152,776,85.358974
686.681311,776,87.294307
1127.685515,776,89.231426
898.894257,776,91.165261
560.742755,776,93.101184
626.211677,776,94.965584
607.089673,776,96.560522
436.754312,776,98.270075
638.830787,776,100.107714
724.543825,776,102.026337
673.543575,776,103.973519
580.214545,776,105.932298
578.273216,776,107.911097
553.545656,776,109.893956
697.48902,776,111.884058
536.726776,776,113.886933
497.769824,776,115.894623
481.73155,776,117.909361
98.023186,776,119.919382
389.882872,776,121.929116
256.985487,776,123.928275
199.531695,776,125.942374
578.101529,776,127.923349
477.981812,776,129.924665
366.3109,776,131.921455
404.999712,776,133.961307
472.264218,776,135.986148
471.090628,776,138.100733
454.098216,776,140.20557
99.195408,776,142.219548
223.944249,776,144.187213
471.352948,776,146.160211
536.087544,776,148.123776
483.360361,776,150.069433
424.207624,776,152.015822
655.075586,776,153.962139
534.920483,776,155.907574
645.372299,776,157.856661
624.72982,776,159.802207
659.56069,776,161.801227
531.535033,776,163.752836
447.052366,776,165.698785
634.713044,776,167.647137
660.918051,776,169.59121
760.667152,776,171.536134
759.372768,776,173.480448
516.691433,776,175.423325
629.594694,776,177.372376
696.07281,776,179.318647
754.001286,776,181.26209
699.514665,776,183.205162
697.807295,776,185.148512
665.119187,776,187.098474
776.083247,776,189.041022
739.285813,776,190.983936
610.764736,776,192.927462
746.256884,776,194.869462
784.557959,776,196.818501
696.249519,776,198.762444
704.138888,776,200.706714
711.151225,776,202.649873
657.622037,776,204.592223
650.63834,776,206.541589
799.243149,776,208.486906
745.616684,776,210.432582
736.324239,776,212.376748
780.225482,776,214.318718
823.454118,776,216.268837
722.941358,776,218.217806
714.965186,776,220.16345
874.419125,776,222.10645
778.776442,776,224.0534
651.38331,776,226.0015
860.979472,776,227.944033
908.689976,776,229.887493
831.2621,776,231.832237
833.121767,776,233.77756
1188.209023,776,235.725488
1163.394506,776,237.679026
767.27628,776,239.625631
678.256166,776,241.575186
753.62059,776,243.525647
626.823498,776,245.475991
836.184761,776,247.419943
1245.389623,776,249.365263
1102.580781,776,251.31021
930.580727,776,253.253652
710.280206,776,255.201943
794.588533,776,257.145951
909.48929,776,259.089811
1199.081948,776,261.032419
668.180775,776,262.976349
777.361545,776,264.926539
654.020193,776,266.869073
710.950866,776,268.810893
591.85227,776,270.760822
543.389949,776,272.706479
613.187691,776,274.657078
765.842603,776,276.601046
640.222128,776,278.542551
628.298256,776,280.490404
611.709663,776,282.434759
697.135086,776,284.385709
675.467893,776,286.331602
723.300632,776,288.274935
744.515696,776,290.22107
671.182488,776,292.165736
577.195365,776,294.115669
649.638107,776,296.061605
685.381924,776,298.003592
544.401623,776,299.947623
537.967534,776,301.8946
597.466927,776,303.909154
649.934528,776,305.861499
658.861228,776,307.80566
701.638949,776,309.748174
638.851016,776,311.692569
661.264565,776,313.64134
737.782047,776,315.585546
651.919692,776,317.530766
653.058805,776,319.473702
647.922249,776,321.417429
692.438861,776,323.366589
679.978151,776,325.308517
593.086434,776,327.253042
747.956691,776,329.19746
650.987789,776,331.140813
651.085906,776,333.090173
671.966149,776,335.034574
741.341684,776,336.978235
679.822988,776,338.922586
651.423907,776,340.86393
673.864164,776,342.813362
733.01266,776,344.755714
755.161123,776,346.700047
650.397556,776,348.644631
647.001113,776,350.585713
645.552308,776,352.535079
708.731136,776,354.479034
659.784909,776,356.424222
692.735293,776,358.368598
693.220833,776,360.308523
732.392509,776,362.258006
716.210822,776,364.201776
647.761339,776,366.144816
741.456945,776,368.088727
694.604656,776,370.031689
681.449592,776,371.98279
678.057547,776,373.928234
650.206165,776,375.871969
753.911522,776,377.816331
653.487039,776,379.760071
649.247111,776,381.707988
682.917211,776,383.654531
709.877848,776,385.59787
751.844254,776,387.543437
692.813268,776,389.48553
637.396667,776,391.434091
734.877269,776,393.377439
648.226603,776,395.320567
639.987896,776,397.263988
653.419265,776,399.208452
646.317405,776,401.156211
690.299149,776,403.099461
676.660054,776,405.043126
570.255999,776,406.985717
631.096958,776,408.929992
685.551357,776,410.878515
605.656688,776,412.820865
726.899001,776,414.764777
749.76949,776,416.706827
671.903559,776,418.651722
555.539299,776,420.597338
636.767375,776,422.53969
587.157994,776,424.482714
592.94536,776,426.423607
572.408339,776,428.366746
550.223749,776,430.314749
621.299931,776,432.257628
581.07126,776,434.202996
653.18033,776,436.147347
542.730978,776,438.090261
640.8063,776,440.03838
560.794726,776,441.980723
548.508143,776,443.921131
592.425768,776,445.86369
601.829075,776,447.805096
584.394431,776,449.754069
627.742544,776,451.697088
564.598806,776,453.638738
619.941313,776,455.583234
607.784583,776,457.525721
579.317819,776,459.472606
634.749826,776,461.414133
612.593904,776,463.358484
611.147652,776,465.301392
567.907557,776,467.244323
670.361188,776,469.191847
752.717255,776,471.132794
579.058416,776,473.075522
530.228312,776,475.01699
600.573136,776,476.959337
473.54396,776,478.905686
504.177927,776,480.847793
446.945344,776,482.789533
553.783906,776,484.733299
408.569978,776,486.677232
462.788671,776,488.6244
514.629628,776,490.566877
609.302851,776,492.51072
513.386874,776,494.455208
437.218135,776,496.398145
518.707569,776,498.345341
551.614925,776,500.286356
470.920784,776,502.226264
615.036125,776,504.168737
557.315986,776,506.111178
467.170285,776,508.058948
557.551085,776,510.000489
474.796361,776,511.94463
543.800508,776,513.893103
508.688402,776,515.837867
576.379822,776,517.790501
503.953076,776,519.736876
424.951,776,521.679523
464.414655,776,523.626097
514.593288,776,525.571206
481.158204,776,527.518112
441.274009,776,529.463814
486.890728,776,531.404739
551.740969,776,533.347119
463.301554,776,535.289471
510.7961,776,537.234953
605.710484,776,539.176293
336.193619,776,541.117476
579.028876,776,543.060476
529.280416,776,545.003994
363.872647,776,546.951765
498.734882,776,548.893656
460.662464,776,550.834337
558.513907,776,552.77568
537.843204,776,554.71964
337.561446,776,556.666144
182.633479,776,558.613518
445.195011,776,560.557814
233.829364,776,562.500629
383.954438,776,564.444656
345.564301,776,566.391606
527.252673,776,568.334925
150.627592,776,570.284707
211.02182,776,572.350432
337.589021,776,574.028957
155.950796,776,575.674967
463.77481,776,577.300968
401.215001,776,579.070339
417.098987,776,580.903977
243.029367,776,582.778551
323.325421,776,584.677626
247.425347,776,586.590163
278.958672,776,584.716103
398.302444,776,586.651383
356.913887,776,588.592311
386.967308,776,590.536847
341.115464,776,592.472719
366.936508,776,594.410702
382.64054,776,596.349072
430.144396,776,598.287689
377.356367,776,600.233907
389.774574,776,602.17331
383.518443,776,604.108044
313.087621,776,606.045982
393.200988,776,607.980883
397.717034,776,609.921232
332.932055,776,611.856715
498.408264,776,613.794276
361.571875,776,615.735814
303.891692,776,617.686087
591.500297,776,619.640432
371.094496,776,621.586145
313.731783,776,623.53828
500.787589,776,625.487319
379.135128,776,627.437265
474.690665,776,629.392317
483.459843,776,631.340996
310.553472,776,633.287665
227.275789,776,635.246201
208.52346,776,637.20531
366.774894,776,639.170918
506.742582,776,641.132422
613.323653,776,643.087124
479.243404,776,645.033401
539.303416,776,646.977891
428.51965,776,648.926263
352.414757,776,650.868312
420.804899,776,652.868384
516.087779,776,654.823853
437.417041,776,656.769205
394.40195,776,658.728077
487.486313,776,660.670881
471.27257,776,662.611683
417.576292,776,664.553858
362.47368,776,666.493791
219.289212,776,668.442536
368.058202,776,670.385084
430.730478,776,672.323194
394.240192,776,674.262868
455.087192,776,676.206225
712.947953,776,678.149434
374.796491,776,680.094369
415.838706,776,682.035323
772.069724,776,683.976043
368.495174,776,685.918385
346.978172,776,687.865212
421.854653,776,689.804554
557.723368,776,691.748607
575.965342,776,693.69097
255.676097,776,695.637462
596.978992,776,697.58424
404.599688,776,699.524297
302.117874,776,701.467018
275.881017,776,703.417069
523.772725,776,705.360995
561.325465,776,707.305565
648.436143,776,709.248332
582.390243,776,711.188661
673.761065,776,713.130941
487.344632,776,715.070346
555.152188,776,717.020747
534.563726,776,718.959722
498.303209,776,720.901103
311.210326,776,722.846046
589.821438,776,724.787384
794.178661,776,726.732152
613.918491,776,728.669219
488.588013,776,730.610397
464.439542,776,732.553741
310.65627,776,734.500096
802.260241,776,736.444862
713.107421,776,738.383491
754.34446,776,740.323818
637.490147,776,742.264582
635.733398,776,744.202466
422.255363,776,746.150913
446.456096,776,748.09601
184.84099,776,750.045782
240.460305,776,751.995018
294.193627,776,753.939977
350.240027,776,755.885912
294.68107,776,757.823353
365.333083,776,759.763413
854.099009,776,761.705746
720.392384,776,763.650204
414.123779,776,765.598732
483.313049,776,767.54209
347.040412,776,769.481853
537.846178,776,771.425205
