#{"t_start": 1649404561.3720486, "env_id": null}
r,l,t
160.904468,776,2.516615
135.663428,776,4.998546
189.345922,776,7.257748
364.110386,776,9.471969
245.43424,776,11.961909
244.654267,776,14.432763
388.663196,776,16.743602
438.978345,776,18.946622
210.399832,776,21.369524
470.282089,776,23.837945
641.876184,776,26.197862
662.304549,776,28.387439
377.121275,776,30.757169
396.270424,776,33.220099
480.298734,776,35.638125
828.685925,776,37.845413
297.219278,776,40.147686
551.180884,776,42.606094
344.666043,776,45.066265
328.257975,776,47.272947
726.434355,776,49.525329
789.754758,776,51.984315
526.682441,776,54.439547
456.509364,776,56.699348
527.947858,776,58.893872
503.300561,776,61.371274
513.833977,776,63.846868
658.604687,776,66.174574
446.082102,776,68.368013
646.500196,776,70.765476
383.622051,776,73.21855
1071.270931,776,75.589813
863.87039,776,77.775656
1439.541677,776,80.108497
1223.809819,776,82.562732
834.750559,776,85.004951
636.215265,776,87.193533
719.205022,776,89.465598
703.447321,776,91.915327
665.96212,776,94.364338
1085.145645,776,96.600965
1255.677445,776,98.81568
1469.112545,776,101.27609
900.271762,776,103.744593
1202.052009,776,106.051987
1244.912132,776,108.256615
799.221964,776,110.68942
445.554187,776,113.161849
464.476185,776,115.51166
552.159942,776,117.708424
590.615199,776,120.069759
516.814421,776,122.536737
675.222942,776,124.957191
513.982894,776,127.14603
450.236919,776,129.470309
457.82463,776,131.949562
912.083519,776,134.404095
784.395482,776,136.603676
912.445724,776,138.841352
729.938604,776,141.297827
741.871473,776,143.772321
425.506155,776,146.032532
315.191904,776,148.219644
288.21456,776,150.69005
481.679337,776,153.141308
334.123742,776,155.470452
289.300941,776,157.661254
349.449928,776,160.068041
213.016302,776,162.540306
367.179243,776,164.934622
180.920519,776,167.134284
236.101731,776,169.49463
327.681176,776,171.954954
272.101396,776,174.398456
382.858396,776,176.597597
246.583308,776,178.88693
281.532671,776,181.355751
267.866517,776,183.825441
349.966588,776,186.045433
408.176891,776,188.280188
359.166442,776,190.749589
441.349709,776,193.284643
414.212646,776,195.549186
429.149644,776,197.731914
400.746716,776,200.206746
468.854081,776,202.689418
357.582793,776,205.003116
439.694113,776,207.180673
391.484737,776,209.588829
178.041051,776,212.052688
297.106382,776,214.430709
348.475433,776,216.611751
702.61703,776,218.943037
336.104583,776,221.394832
968.594716,776,223.825696
291.939993,776,226.021789
352.885252,776,228.300578
306.956455,776,230.749083
358.642037,776,233.205901
418.041988,776,235.426032
376.62717,776,237.644406
380.599845,776,240.08936
350.525135,776,242.534171
352.335918,776,244.811716
319.161549,776,246.979283
330.180479,776,249.392276
340.373696,776,251.842715
326.779884,776,254.191557
366.180413,776,256.371387
351.419777,776,258.717896
347.775169,776,261.17388
346.42843,776,263.573973
335.107398,776,265.751338
335.311739,776,268.03866
332.472096,776,270.483647
333.837435,776,272.929575
346.096558,776,275.144801
389.015431,776,277.355819
328.904879,776,279.790778
320.781111,776,282.232603
310.11617,776,284.506342
345.068308,776,286.697101
326.818171,776,289.115081
319.610628,776,291.557443
328.133958,776,293.894339
315.185794,776,296.083454
316.491908,776,298.447167
326.871619,776,300.887486
322.48783,776,303.293307
322.525649,776,305.482092
313.902331,776,307.783642
334.329282,776,310.230015
331.280416,776,312.680377
289.468278,776,314.891553
294.233638,776,317.127337
279.006171,776,319.57666
281.166385,776,322.025606
356.469671,776,324.291867
350.02524,776,326.477002
334.542587,776,328.905794
322.152432,776,331.354179
332.755081,776,333.673598
313.880706,776,335.858106
263.453498,776,338.221254
236.413626,776,340.670502
225.718874,776,343.061841
272.095073,776,345.257014
271.165265,776,347.576324
252.779597,776,350.025235
215.369844,776,352.468613
235.205043,776,354.671222
175.283099,776,356.922202
314.376994,776,359.372135
312.189896,776,361.820486
241.737824,776,364.064471
293.3037,776,366.254032
327.705816,776,368.707436
543.18809,776,371.16024
488.736852,776,373.476938
418.296956,776,375.67121
363.144424,776,378.066444
423.53646,776,380.530251
314.590425,776,382.917995
499.159965,776,385.110352
411.645607,776,387.468075
457.734036,776,389.932019
394.735537,776,392.361586
438.746508,776,394.531446
591.054846,776,396.805657
587.27856,776,399.257663
557.349277,776,401.714059
426.915152,776,403.955679
658.804207,776,406.177302
374.195019,776,408.621272
682.702696,776,411.073206
435.384774,776,413.360173
421.469828,776,415.548972
327.9836,776,417.950747
325.650369,776,420.391129
427.721932,776,422.747944
312.849693,776,424.945679
