#{"t_start": 1648035548.0448515, "env_id": null}
r,l,t
117.220176,1674,5.104276
129.515345,1674,10.106655
176.668033,1674,15.11311
117.245748,1674,20.190385
123.31547,1674,25.228743
122.693433,1674,30.27328
173.556913,1674,35.276061
205.16139,1674,40.331316
129.119646,1674,45.387566
156.664857,1674,50.399336
191.04422,1674,55.380629
139.080107,1674,60.43304
101.349072,1674,65.434179
134.672958,1674,70.43449
156.365519,1674,75.408262
134.999558,1674,80.42327
116.700247,1674,85.429415
121.320549,1674,90.424154
147.661,1674,95.430401
116.609485,1674,100.503247
76.882059,1674,105.52659
134.499782,1674,110.52295
150.51857,1674,115.508494
120.761767,1674,120.509033
158.273514,1674,125.496159
177.868054,1674,130.529964
113.762703,1674,135.47866
161.675196,1674,140.488447
88.41924,1674,145.479623
159.913827,1674,150.464158
118.168709,1674,155.464332
65.868957,1674,160.446856
48.56168,1674,165.433035
100.028032,1674,170.432194
83.693482,1674,175.364193
66.264355,1674,180.343117
210.91093,1674,185.326649
145.416848,1674,190.28774
104.771936,1674,195.258897
90.378743,1674,200.25206
84.324478,1674,205.224414
88.131612,1674,210.197118
93.293821,1674,215.142453
90.730953,1674,220.115697
78.361044,1674,225.062615
139.450301,1674,230.04233
118.256923,1674,234.981825
100.493072,1674,239.945432
144.366661,1674,244.897929
148.124277,1674,249.840887
141.620396,1674,254.770183
99.254431,1674,259.703476
155.241377,1674,264.652044
106.522423,1674,269.600337
112.744695,1674,274.562649
88.204437,1674,279.514149
130.541579,1674,284.453495
157.269193,1674,289.382784
125.974825,1674,294.294295
164.103143,1674,299.231285
144.056079,1674,304.188569
147.770664,1674,309.158514
118.52957,1674,314.097391
112.010746,1674,319.050932
85.05488,1674,323.988829
99.917301,1674,328.941531
144.431697,1674,333.890439
113.892444,1674,338.857215
133.75609,1674,343.84297
109.048911,1674,348.812335
145.687369,1674,354.327732
135.573957,1674,359.230614
144.330903,1674,364.118914
113.986641,1674,369.208093
140.963415,1674,374.284323
148.258922,1674,379.287061
158.302453,1674,384.113472
123.274052,1674,389.034629
137.338018,1674,393.951299
119.399266,1674,398.832112
146.659233,1674,403.752576
106.516758,1674,408.655632
135.786234,1674,413.609211
124.577749,1674,418.531851
106.294332,1674,423.429493
129.386771,1674,428.309995
106.050978,1674,433.20655
147.60036,1674,438.142998
163.498134,1674,443.112873
161.852091,1674,448.074952
116.741886,1674,453.028955
146.599242,1674,457.944401
146.350895,1674,462.862534
92.781481,1674,467.786071
132.82894,1674,472.745361
160.827267,1674,477.70677
177.25573,1674,482.666342
124.021672,1674,487.612263
175.597359,1674,492.519158
161.263687,1674,497.422077
155.064408,1674,502.352615
108.132776,1674,507.307926
160.088084,1674,512.239647
143.486258,1674,517.201722
125.167483,1674,522.088352
132.386626,1674,527.001519
122.867273,1674,531.951527
167.526174,1674,536.868035
144.924311,1674,541.794272
136.925752,1674,546.730521
163.759928,1674,551.605135
150.698461,1674,556.494801
118.181855,1674,561.376595
142.322427,1674,566.300615
116.384298,1674,571.191212
120.062425,1674,576.117834
176.04037,1674,581.044396
147.281902,1674,585.967093
129.815876,1674,590.868617
124.860583,1674,595.749344
172.533504,1674,600.637545
164.747402,1674,605.538998
149.699418,1674,610.476417
98.460036,1674,615.399295
149.909307,1674,620.294984
143.882588,1674,625.187993
111.435803,1674,630.201214
139.91124,1674,635.101868
119.307725,1674,640.010587
139.256617,1674,644.878588
127.275033,1674,649.745982
141.404296,1674,654.603245
127.006879,1674,659.484902
161.236289,1674,664.348612
137.396915,1674,669.23947
129.380137,1674,674.10916
149.680297,1674,678.976311
146.343165,1674,683.845177
160.556023,1674,688.716644
123.939253,1674,693.574627
140.592949,1674,698.473694
121.937333,1674,703.356938
141.344373,1674,708.243319
147.504905,1674,713.111761
173.92042,1674,717.976994
145.215898,1674,722.858812
144.604587,1674,727.709956
100.571894,1674,732.6254
160.356643,1674,737.546448
